시간,대화내용
1700707178549,"[연두상추] (11:39) 맞져"
1700707185335,"[연두상추] (11:39) 걸려버렸어"
1700707186774,"[빨강보리] (11:39) 추리게임"
1700707186876,"[분홍자두] (11:39) 누가 나를 사칭해"
1700707189541,"[연두상추] (11:39) ㅋㅋㅋㅋㅋㅋㅋㅋ"
1700707190335,"[빨강사과] (11:39) 연두상추는"
1700707190932,"[연두상추] (11:39) 아나"
1700707191734,"[빨강사과] (11:39) 무조건"
1700707192025,"[연두상추] (11:39) ㅋㅋㅋㅋㅋㅋㅋㅋ"
1700707194557,"[빨강보리] (11:39) 우ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ"
1700707195063,"[빨강사과] (11:39) 맨앞줄이야"
1700707196361,"[빨강사과] (11:39) 내가봤을때"
1700707215440,"[연두상추] (11:40) 아나 궁그매 이따봐여 사과씨"
1700707239814,"[빨강사과] (11:40) 브리핑 끝나면 바로 창닫고"
1700707240424,"[빨강사과] (11:40) 런침"
1700707245435,"[빨강보리] (11:40) ^▽^"
1700707264696,"[초록당근] (11:41) ㅋㅋㅋㅋㅋㅋㅋ"
1700707265003,"[하양감자] (11:41) 🎄"
1700707269107,"[연두상추] (11:41) ^,,^"
1700707284357,"[하양감자] (11:41) 😀😀"
1700707311995,"[분홍참깨] (11:41) 이모니콘어케쓴거지"
1700707323783,"[분홍자두] (11:42) 윈도우키 + ."
1700707337364,"[빨강보리] (11:42) 돋보기..."
1700707340984,"[하양감자] (11:42) 😡😡"
1700707349237,"[하양감자] (11:42) 돋보기는 뭐람"
1700707353907,"[빨강보리] (11:42) 아하"
1700707365458,"[빨강사과] (11:42) ˗ˋ₊ ˚ . TEXT ‧₊°"
1700707378931,"[빨강보리] (11:42) 🤯🤯🤯🤯🤯🤯🤯"
1700707386862,"[빨강사과] (11:43) (*˙︶˙*)ﾉ"
1700707390137,"[빨강사과] (11:43) 어 이것도 출력되네"
